study_id,pmid,assessment_type,domain,assessment,supporting_evidence,judgment,comments,assessor_initials,assessment_date,overall_rob_rating
STUDY_0158,35043036,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0158,35043036,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0158,35043036,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0158,35043036,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0158,35043036,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0158,35043036,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0159,35043037,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0159,35043037,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0159,35043037,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0159,35043037,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0159,35043037,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0159,35043037,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0159,35043037,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0160,35043038,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0160,35043038,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0160,35043038,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0160,35043038,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0160,35043038,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0160,35043038,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0160,35043038,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0161,35043039,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0161,35043039,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0161,35043039,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0161,35043039,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0161,35043039,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0161,35043039,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0161,35043039,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0162,35043040,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0162,35043040,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0162,35043040,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0162,35043040,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0162,35043040,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0162,35043040,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0162,35043040,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0163,35043041,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0163,35043041,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0163,35043041,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0163,35043041,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0163,35043041,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0163,35043041,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0163,35043041,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0164,35043042,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0164,35043042,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0164,35043042,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0164,35043042,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0164,35043042,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0164,35043042,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0164,35043042,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0165,35043043,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0165,35043043,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0165,35043043,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0165,35043043,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0165,35043043,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0165,35043043,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0165,35043043,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0166,35043044,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0166,35043044,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0166,35043044,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0166,35043044,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0166,35043044,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0166,35043044,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0166,35043044,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0167,35043045,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0167,35043045,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0167,35043045,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0167,35043045,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0167,35043045,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0167,35043045,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0167,35043045,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0168,35043046,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0168,35043046,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0168,35043046,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0168,35043046,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0168,35043046,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0168,35043046,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0168,35043046,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0169,35043047,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0169,35043047,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0169,35043047,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0169,35043047,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0169,35043047,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0169,35043047,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0169,35043047,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0170,35043048,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0170,35043048,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0170,35043048,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0170,35043048,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0170,35043048,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0170,35043048,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0170,35043048,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0171,35043049,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0171,35043049,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0171,35043049,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0171,35043049,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0171,35043049,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0171,35043049,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0171,35043049,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0172,35043050,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0172,35043050,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0172,35043050,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0172,35043050,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0172,35043050,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0172,35043050,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0172,35043050,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0173,35043051,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0173,35043051,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0173,35043051,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0173,35043051,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0173,35043051,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0173,35043051,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0173,35043051,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0174,35043052,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0174,35043052,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0174,35043052,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0174,35043052,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0174,35043052,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0174,35043052,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0174,35043052,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0175,35043053,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0175,35043053,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0175,35043053,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0175,35043053,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0175,35043053,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0175,35043053,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0175,35043053,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0176,35043054,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0176,35043054,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0176,35043054,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0176,35043054,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0176,35043054,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0176,35043054,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0176,35043054,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0177,35043055,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0177,35043055,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0177,35043055,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0177,35043055,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0177,35043055,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0177,35043055,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0177,35043055,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0178,35043056,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0178,35043056,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0178,35043056,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0178,35043056,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0178,35043056,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0178,35043056,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0178,35043056,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0179,35043057,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0179,35043057,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0179,35043057,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0179,35043057,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0179,35043057,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0179,35043057,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0179,35043057,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0180,35043058,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0180,35043058,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0180,35043058,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0180,35043058,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0180,35043058,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0180,35043058,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0180,35043058,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0181,35043059,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0181,35043059,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0181,35043059,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0181,35043059,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0181,35043059,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0181,35043059,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0181,35043059,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0182,35043060,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0182,35043060,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0182,35043060,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0182,35043060,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0182,35043060,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0182,35043060,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0182,35043060,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0183,35043061,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0183,35043061,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0183,35043061,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0183,35043061,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0183,35043061,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0183,35043061,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0183,35043061,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0184,35043062,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0184,35043062,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0184,35043062,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0184,35043062,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0184,35043062,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0184,35043062,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0184,35043062,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
